Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.35.28-111.13.94.40-52898-80-6,192.168.35.28,52898,111.13.94.40,80,6,23/11/2018 03:08:10 下午,45647,3,4,195.0,317.0,195.0,0.0,65.0,112.58330249197702,317.0,0.0,79.25,158.5,11216.509299625386,153.35071308081584,7607.833333333333,7846.933551819249,17562.0,41.0,28044.0,14022.0,6628.418966842696,18709.0,9335.0,45355.0,15118.333333333332,11587.393422738927,25289.0,2504.0,0,0,0,0,60,104,65.7217341774925,87.62897890332333,0.0,317.0,64.0,122.90879312958626,15106.57142857143,0,1,0,0,0,0,0,0,1.0,73.14285714285714,65.0,79.25,0,0,0,0,0,0,3,195,4,317,-1,119,1,0,0,0,0,0,0,0,0,0,No Label
192.168.9.221-192.168.35.28-389-53289-6,192.168.35.28,53289,192.168.9.221,389,6,23/11/2018 03:22:25 下午,4022,5,6,127.0,3075.0,84.0,0.0,25.4,37.68023354492379,1460.0,0.0,512.5,717.1331117721452,796121.3326703132,2734.957732471407,402.2,431.3858288508482,1319.0,2.0,3484.0,871.0,897.7003954549647,2089.0,152.0,3588.0,717.6,587.0871315230816,1360.0,2.0,0,0,0,0,100,144,1243.1626056688215,1491.7951268025856,0.0,1460.0,266.8333333333333,547.875372911052,300167.42424242425,0,1,0,0,0,0,0,0,1.0,291.09090909090907,25.4,512.5,0,0,0,0,0,0,5,127,6,3075,-1,256,2,0,0,0,0,0,0,0,0,0,No Label
192.168.9.221-192.168.35.28-389-53291-6,192.168.35.28,53291,192.168.9.221,389,6,23/11/2018 03:22:25 下午,617,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6482.982171799027,205.66666666666666,169.09267675843722,366.0,29.0,222.0,222.0,0.0,222.0,222.0,366.0,366.0,0.0,366.0,366.0,0,0,0,0,40,64,3241.4910858995136,3241.4910858995136,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,8192,0,0,0,0,0,0,0,0,0,0,No Label
192.168.9.221-192.168.35.28-389-53292-6,192.168.35.28,53292,192.168.9.221,389,6,23/11/2018 03:22:25 下午,799,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5006.2578222778475,266.3333333333333,238.1792042419601,499.0,23.0,277.0,277.0,0.0,277.0,277.0,499.0,499.0,0.0,499.0,499.0,0,0,0,0,40,64,2503.1289111389237,2503.1289111389237,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,8192,0,0,0,0,0,0,0,0,0,0,No Label
192.168.9.222-192.168.35.28-389-53293-6,192.168.35.28,53293,192.168.9.222,389,6,23/11/2018 03:22:25 下午,3684,5,6,529.0,402.0,248.0,0.0,105.8,126.51956370459077,211.0,0.0,67.0,88.08178018182875,252714.44082519,2985.8849077090117,368.4000000000001,401.8242291240178,1266.0,35.0,3400.0,850.0,687.4770299193033,1737.0,71.0,3523.0,704.6,458.370265178709,1301.0,234.0,0,0,0,0,100,144,1357.2204125950054,1628.6644951140065,0.0,248.0,77.58333333333334,101.57528182972409,10317.537878787878,0,1,0,0,0,0,0,0,1.0,84.63636363636364,105.8,67.0,0,0,0,0,0,0,5,529,6,402,-1,254,3,0,0,0,0,0,0,0,0,0,No Label
192.168.9.221-192.168.35.28-389-53290-6,192.168.35.28,53290,192.168.9.221,389,6,23/11/2018 03:22:25 下午,11027,7,8,850.0,743.0,239.0,0.0,121.42857142857144,110.09216917785622,278.0,0.0,92.87500000000001,106.16488187181835,144463.58937154256,1360.2974517094403,787.6428571428571,897.5290530667523,3568.0,34.0,10617.0,1769.5,1305.111297935927,4028.0,50.0,7409.0,1058.4285714285713,645.39235021364,2167.0,376.0,0,0,0,0,140,184,634.8054774644055,725.4919742450348,0.0,278.0,99.56250000000001,104.955843890022,11015.729166666668,0,1,0,0,0,0,0,0,1.0,106.2,121.42857142857143,92.875,0,0,0,0,0,0,7,850,8,743,-1,253,5,0,0,0,0,0,0,0,0,0,No Label
192.168.35.28-40.100.56.226-53294-443-6,192.168.35.28,53294,40.100.56.226,443,6,23/11/2018 03:22:25 下午,930107,9,11,1352.0,9473.0,576.0,0.0,150.2222222222222,221.27854492572126,1460.0,0.0,861.1818181818182,706.6469865755911,11638.445899235248,21.502902354245265,48953.00000000001,170000.12128590443,746925.0,1.0,886744.0,110843.0,275147.08630943456,789957.0,17.0,928399.0,92839.9,230886.02491775507,746925.0,1.0,0,0,0,0,180,244,9.676306059410368,11.826596294834895,0.0,1460.0,515.4761904761905,638.9937103796577,408312.96190476196,0,1,0,0,0,0,0,0,1.0,541.25,150.22222222222223,861.1818181818181,0,0,0,0,0,0,9,1352,11,9473,-1,1022,4,0,0,0,0,0,0,0,0,0,No Label
192.168.35.28-112.34.111.123-53275-443-6,112.34.111.123,443,192.168.35.28,53275,6,23/11/2018 03:22:39 下午,1,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,3.1E7,2000000.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,1000000.0,1000000.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,17524,0,0,0,0,0,0,0,0,0,0,No Label
192.168.35.28-112.34.111.123-53275-443-6,192.168.35.28,53275,112.34.111.123,443,6,23/11/2018 03:22:39 下午,4884561,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4094533776935123,4884561.0,0.0,4884561.0,4884561.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.20472668884675616,0.20472668884675616,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,65309,0,0,0,0,0,0,0,0,0,0,No Label

